Type,Comment,Value
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),45.144.212.172|7032
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.193.125.249|4000
sha256,DarkGate payload (confidence level: 50%),489f6571d90481c07fa192b6b10dfc92fb1828f47c1938735ffe90a0273409f1
domain,XWorm botnet C2 domain (confidence level: 100%),motorsport-pub.with.playit.plus
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),147.185.221.27|25036
sha256,Gofing payload (confidence level: 50%),bc27cf33af958d8dea11041b9811a1cdd1fdb79f916fb0a2afa573acefed91c0
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.71.236|7777
url,Lumma Stealer botnet C2 (confidence level: 100%),https://bliftally.top/xasj
url,Lumma Stealer botnet C2 (confidence level: 75%),https://mfishgh.digital/tequ
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),154.53.165.98|443
url,Lumma Stealer botnet C2 (confidence level: 100%),https://uintelhube.live/api
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),41.216.188.194|7000
sha256,Gofing payload (confidence level: 50%),02d31a93d7fdba7583ccd3ffc72cc29705a7c5b1de5681ef1f663b0479308748
md5,Unknown malware payload (confidence level: 50%),f94d17b5f232e9cfd2255ca9823cb18a
sha256,DarkGate payload (confidence level: 50%),8a773f78391b298dd5d707a5e0b8bb1a7a6c51e5beb2a1e3a4fcb78465dfc13f
url,Lumma Stealer botnet C2 (confidence level: 100%),https://wbuzzarddf.live/ktnt
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),163.172.125.253|406
domain,DarkGate botnet C2 domain (confidence level: 50%),artsbygrace.com.br
url,Formbook botnet C2 (confidence level: 50%),http://www.uv3kq5tvbkys.xyz/an20/
domain,DarkGate botnet C2 domain (confidence level: 50%),eletroportseg.com.br
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.138.189.93|10000
ip-dst|port,DeimosC2 botnet C2 server (confidence level: 75%),43.141.130.132|10250
domain,DarkGate botnet C2 domain (confidence level: 50%),superanunciosweb.com
url,Lumma Stealer botnet C2 (confidence level: 100%),https://ctechguidet.digital/apdo
sha256,DarkGate payload (confidence level: 50%),c788100411c38388afc3438dccc05297ac7a77083f579e4a7e8d6e1479214fde
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),47.109.83.12|7100
url,Lumma Stealer botnet C2 (confidence level: 100%),https://gnavstarx.shop/foajsi
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),1.94.105.194|8081
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),3.36.21.173|80
sha256,Gofing payload (confidence level: 50%),961a1ed813ff796c090d71de6191842259c2894dd2525dc6d3c4c5473d72bbb7
domain,DarkGate botnet C2 domain (confidence level: 50%),samacademia.com
sha256,Gofing payload (confidence level: 50%),8b04d3a14d30650c1d673b110763dc26b0e4b3bb6a41c9f6538fd3cfd8326c7c
sha256,Gofing payload (confidence level: 50%),0f5205df8b573dfd418aef03da586ebc5584afcf617197226f985ccd11e06c26
domain,Unknown malware botnet C2 domain (confidence level: 75%),atticusblahblahblah.com
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),46.8.194.222|4040
domain,DarkGate botnet C2 domain (confidence level: 50%),globalhi-tech.sg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.109.206.114|8081
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 50%),176.10.107.180|6606
sha256,DarkGate payload (confidence level: 50%),1bc06334849768ebbd7afff675e4e3196984d00c495395ddb9050c8c5f780381
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),88.214.50.26|416
sha256,Gofing payload (confidence level: 50%),86d83393988b0a4afdaf123d638585108159243db7e8336cc6f94b142cecd7a1
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.71.236|8888
domain,DarkGate botnet C2 domain (confidence level: 50%),madeinbots.com
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),213.209.150.210|8882
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),152.136.17.91|6666
