Type,Comment,Value
domain,Unknown malware botnet C2 domain (confidence level: 100%),adstat.moyu88.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://foortyturhud.run/api
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),77.49.195.47|995
domain,Havoc botnet C2 domain (confidence level: 100%),cpcalendars.toptenufabetgames.xyz
domain,Unknown malware botnet C2 domain (confidence level: 95%),ygialkl.dns.army
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),sterpickced.digital
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),176.188.105.70|8888
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.homeimprovementbloopers.website
url,Formbook botnet C2 (confidence level: 50%),http://www.earntok.shop/my18/
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),104.161.43.108|7707
domain,XWorm botnet C2 domain (confidence level: 50%),la-judgment.gl.at.ply.gg
url,Formbook botnet C2 (confidence level: 50%),http://www.cleaning-services-18202.bond/g43m/
url,ClearFake payload delivery URL (confidence level: 100%),https://check.husok.icu/gkcxv.google
url,ClearFake payload delivery URL (confidence level: 75%),https://u1.overuseunderuse.shop/siarhei_korbut_-_shrug.mp3
domain,Astaroth botnet C2 domain (confidence level: 100%),prulinder45.infraestrutura.pics
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),43.128.147.70|443
ip-dst|port,DarkComet botnet C2 server (confidence level: 100%),85.58.184.149|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.56|4000
domain,BumbleBee botnet C2 domain (confidence level: 100%),119qwh18wha.click
url,Phorpiex botnet C2 (confidence level: 50%),http://aegieuueueuuruia.ru/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),gengfocus.today
domain,Formbook botnet C2 domain (confidence level: 50%),www.etwork-tools-348962211.click
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),codxefusion.top
url,ClearFake payload delivery URL (confidence level: 100%),https://check.lapib.icu/gkcxv.google
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),galxacticex.run
domain,CryptBot botnet C2 domain (confidence level: 100%),sixjs6pn.top
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),31.177.109.130|1911
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),191.101.51.7|2404
domain,ClearFake payload delivery domain (confidence level: 75%),unitedcredible.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),103.74.95.243|443
domain,BumbleBee botnet C2 domain (confidence level: 100%),7u3hg5ic6v9.click
url,Lumma Stealer botnet C2 (confidence level: 75%),https://actiothreaz.com/api
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),exoprlanet.digital
domain,PlugX botnet C2 domain (confidence level: 75%),yourprizehere.com
domain,CyberGate botnet C2 domain (confidence level: 100%),hakr515.no-ip.info
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.magzineviralzhubz.xyz
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fortunedtrivial.top
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),87.121.84.91|1337
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),196.251.71.31|4433
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),43.198.14.52|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),raiduyrumny.cyou
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),18.166.29.195|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),212.193.26.220|1337
url,Unknown malware botnet C2 (confidence level: 95%),https://vocals.faernleys.com/atvdarapgaf6lboxgagj2rdmyih8gh0k2xyvbojwdmnclnxbcemjjtyg8itq3prs4nl4xbqkqqmeouusz6wynwpdfwuesstenpwo8i6utqez7ykv30x5fn172idlhr914zwxoklv5tma3hc1oevj9d/verify
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),34.225.248.122|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),139.59.182.127|8080
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.102.236|2000
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),47.239.197.97|443
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),196.251.80.231|12345
domain,Formbook botnet C2 domain (confidence level: 50%),www.houzentei-soukan.work
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),ydh7.shop
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),195.14.123.121|443
domain,Quasar RAT botnet C2 domain (confidence level: 50%),pdf-switched.gl.at.ply.gg
domain,Quasar RAT botnet C2 domain (confidence level: 100%),figure-bobby.gl.at.ply.gg
domain,Havoc botnet C2 domain (confidence level: 100%),webdisk.livninspot.xyz
url,Formbook botnet C2 (confidence level: 50%),http://www.0u47m9.top/rupi/
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),expergalscience.live
url,Formbook botnet C2 (confidence level: 50%),http://www.howupii.online/sm05/
domain,Formbook botnet C2 domain (confidence level: 50%),www.0-25-jpzxn8.vip
domain,Formbook botnet C2 domain (confidence level: 50%),www.egafinds-latina.shop
url,Pony botnet C2 (confidence level: 100%),http://109.163.229.3/rm/gate.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),107.148.47.247|53
url,Hook botnet C2 (confidence level: 50%),http://51.222.110.148/
domain,NjRAT botnet C2 domain (confidence level: 100%),kaher.no-ip.biz
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),161.97.101.53|2001
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),medicamentsbonmarche.top
domain,DarkComet botnet C2 domain (confidence level: 100%),ddos19.no-ip.org
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),194.15.36.205|9999
domain,XWorm botnet C2 domain (confidence level: 50%),coolguy12-30292.portmap.host
md5,HellDown payload (confidence level: 50%),140aad1f823157222af3da2d23de8789
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),91.199.42.124|6606
domain,Lumma Stealer payload delivery domain (confidence level: 100%),xn--eclab-1ta.com
domain,Astaroth botnet C2 domain (confidence level: 100%),plolinfil33.consultoria.pics
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),45.144.212.192|1912
domain,Quasar RAT botnet C2 domain (confidence level: 100%),ip72.ip-198-244-227.eu
domain,Formbook botnet C2 domain (confidence level: 50%),www.dreamverse.page
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),138.199.216.110|443
url,Formbook botnet C2 (confidence level: 50%),http://www.dtech.team/v32e/
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),faftooptuk.com
domain,Havoc botnet C2 domain (confidence level: 100%),webmail.bjshomeimprovement.xyz
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),157.20.182.57|80
md5,Unknown malware payload (confidence level: 50%),1b701df9e6b5252feef3d1d8dcfe12f5
url,Formbook botnet C2 (confidence level: 50%),http://www.hattype.shop/u023/
domain,BumbleBee botnet C2 domain (confidence level: 100%),3mibffhnyi0.click
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),181.214.99.85|4444
ip-dst|port,GhostSocks botnet C2 server (confidence level: 100%),195.200.31.22|10000
domain,Unknown malware botnet C2 domain (confidence level: 100%),phonemesh.org
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),aipethauftu.net
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://gmt-a.shop/files/original.js
domain,ClearFake payload delivery domain (confidence level: 100%),check.debij.icu
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.156.72.58|419
url,Phorpiex botnet C2 (confidence level: 50%),http://afieifaieudhhudre.top/
domain,XWorm botnet C2 domain (confidence level: 50%),ghostofleet-49120.portmap.host
url,Formbook botnet C2 (confidence level: 50%),http://www.onghuan.lol/sm05/
url,Lumma Stealer botnet C2 (confidence level: 100%),https://inztergalact.world/api
ip-dst|port,Hook botnet C2 server (confidence level: 100%),65.109.176.86|50555
domain,Mirai botnet C2 domain (confidence level: 100%),dreamproxy.cc
domain,Phorpiex botnet C2 domain (confidence level: 50%),euuauudduufuugume.top
domain,DarkComet botnet C2 domain (confidence level: 100%),anotherhfuser.no-ip.biz
domain,Formbook botnet C2 domain (confidence level: 50%),www.redit-cards-46185.bond
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),82.223.20.104|3333
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.242.110|80
domain,DarkComet botnet C2 domain (confidence level: 100%),123cinarla.zapto.org
domain,Formbook botnet C2 domain (confidence level: 50%),www.frca02620.live
domain,Formbook botnet C2 domain (confidence level: 50%),www.sheek.club
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),lightyears.bet
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),34.212.15.42|443
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),kfzversicherungskosten.top
url,Formbook botnet C2 (confidence level: 50%),http://www.wqsbr5jc.vip/egs9/
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),108.165.213.9|3333
domain,Quasar RAT botnet C2 domain (confidence level: 50%),zakariabenkirane.ddns.net
ip-dst|port,Tofsee botnet C2 server (confidence level: 100%),185.156.72.58|421
sha256,StrelaStealer payload (confidence level: 50%),f5c54fce6c9e2f84b084bbf9968c9a76d9cd74a11ccf4fcba29dbe2e4574e3d7
md5,Rhadamanthys payload (confidence level: 50%),90ef6c2a7cb10a36833105c78849faf8
domain,Formbook botnet C2 domain (confidence level: 50%),www.igmatylerman.club
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),playfulupaws.life
domain,CyberGate botnet C2 domain (confidence level: 100%),lishman.no-ip.biz
url,ClearFake payload delivery URL (confidence level: 100%),https://check.gytas.icu/gkcxv.google
domain,CryptBot botnet C2 domain (confidence level: 100%),twtwo2pt.top
domain,BumbleBee botnet C2 domain (confidence level: 100%),4ayqsfi0frd.click
domain,Astaroth botnet C2 domain (confidence level: 100%),progir.planejamento.cfd
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fuurxchnologies.top
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),176.65.134.66|443
domain,Formbook botnet C2 domain (confidence level: 50%),www.dventistbridgingcare.info
domain,CyberGate botnet C2 domain (confidence level: 100%),alone2011.no-ip.org
url,Formbook botnet C2 (confidence level: 50%),http://www.653emd.top/egs9/
domain,Astaroth botnet C2 domain (confidence level: 100%),clelansonqual.relatorios.quest
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),79.72.19.74|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),116.62.50.188|60000
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),91.244.197.12|1337
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),stirtoakraishe.net
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.51.91.45|443
url,Azorult botnet C2 (confidence level: 50%),http://s10aklc3.beget.tech/index.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.36.61.196|443
url,MASS Logger payload delivery URL (confidence level: 50%),http://81.161.229.110/htdocs/raqneqpjbnogszg.exe
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.95.13.123|80
domain,Phorpiex botnet C2 domain (confidence level: 50%),aegieuueueuuruia.ru
domain,Formbook botnet C2 domain (confidence level: 50%),www.653emd.top
url,Phorpiex botnet C2 (confidence level: 50%),http://nbmbnmbembfaeuree.top/
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),176.113.115.177|1911
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),gmt-a.shop
domain,Unknown Webinject botnet C2 domain (confidence level: 75%),lutchignoodra.net
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),185.93.89.137|4444
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),181.235.178.232|8888
url,Lumma Stealer botnet C2 (confidence level: 100%),https://garisechairedd.shop/api
