Type,Comment,Value
url,Formbook botnet C2 (confidence level: 50%),http://www.aser-skin-treatment-88304.bond/hi07/
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),27.124.34.90|6665
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.148.224.101|7443
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),46.8.122.64|2555
domain,MetaStealer botnet C2 domain (confidence level: 100%),ssuoisgeqmiwkqgm.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),41.143.213.119|3001
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.243|1024
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),164.90.131.51|8080
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.243|44995
domain,Kimsuky botnet C2 domain (confidence level: 50%),nid-naversno.servecounterstrike.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),124.243.178.144|8082
url,DCRat botnet C2 (confidence level: 100%),http://dc.tseytlin.su/5aced329.php
domain,SpyNote botnet C2 domain (confidence level: 100%),organization-macro.gl.at.ply.gg
domain,MetaStealer botnet C2 domain (confidence level: 100%),kcgmumqugmuoiwcs.xyz
domain,XWorm botnet C2 domain (confidence level: 100%),mhzlhtools77-42857.portmap.io
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.135.148.164|443
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),34.92.199.205|443
domain,MetaStealer botnet C2 domain (confidence level: 100%),cgkmsqeekgkmouua.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.203.137|51144
domain,MetaStealer botnet C2 domain (confidence level: 100%),kowoaseyiukgwuiw.xyz
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),193.26.115.138|1337
domain,MetaStealer botnet C2 domain (confidence level: 100%),ceciwqmmgwgmuuys.xyz
url,Formbook botnet C2 (confidence level: 50%),http://www.cleaning-services-40215.bond/tu90/
domain,MetaStealer botnet C2 domain (confidence level: 100%),cguymcqgicymokie.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),ecyuisoiemcewaks.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.207.121|1433
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),113.44.139.4|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),38.146.27.131|4000
domain,Havoc botnet C2 domain (confidence level: 100%),4u-2n-web.com
ip-dst|port,SectopRAT botnet C2 server (confidence level: 50%),144.172.94.120|9000
domain,MetaStealer botnet C2 domain (confidence level: 100%),ikaogkswowgsemme.xyz
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.234.32.95|4841
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),takesnly.shop
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),196.251.116.252|4449
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),45.125.33.82|23966
domain,MetaStealer botnet C2 domain (confidence level: 100%),uoooseecqmgwgyuu.xyz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),35.167.62.125|443
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),147.185.221.28|57153
url,Amadey botnet C2 (confidence level: 100%),http://mi.ultimateamplifier.world/dash/png/index.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),8.130.171.18|443
domain,AsyncRAT botnet C2 domain (confidence level: 100%),zuvisck-48805.portmap.io
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),124.71.110.163|12150
domain,MetaStealer botnet C2 domain (confidence level: 100%),qyeqiuqwmymgmkim.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.pruceandstone.shop
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),77.102.235.44|8888
domain,Kimsuky botnet C2 domain (confidence level: 50%),binduserdoc.p-e.kry.o-r.kr
domain,MetaStealer botnet C2 domain (confidence level: 100%),seaeuowkwocowwgw.xyz
domain,Kimsuky botnet C2 domain (confidence level: 50%),mexc.m-service.space
domain,Unknown Webinject payload delivery domain (confidence level: 100%),security.shieldclouds.com
