Type,Comment,Value
url,Amadey botnet C2 (confidence level: 100%),http://66.63.187.111/waaagh/index.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),23.226.58.114|3093
domain,AsyncRAT botnet C2 domain (confidence level: 75%),cuesta.us.com
domain,Mirai botnet C2 domain (confidence level: 100%),oonpczqujhsboufx.loseyourip.com
domain,ClearFake payload delivery domain (confidence level: 100%),plush.lizqa.online
domain,XWorm botnet C2 domain (confidence level: 100%),realdot.ddns.net
url,Pony botnet C2 (confidence level: 100%),http://glgkorea.com/forum/viewtopic.php
domain,AsyncRAT botnet C2 domain (confidence level: 100%),envios25.duckdns.org
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),174.138.181.162|9998
domain,ClearFake payload delivery domain (confidence level: 100%),ridinyo9.ru
sha256,NewPass payload (confidence level: 95%),80cc2e05768818efd119066e5581ed339c89096bcbb8afca541583deddb3152e
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),43.138.22.149|8080
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),103.83.86.16|16650
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),155.138.161.66|443
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),138.124.183.163|7000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),167.160.161.247|8596
ip-dst|port,Amadey botnet C2 server (confidence level: 50%),176.46.157.60|80
domain,AsyncRAT botnet C2 domain (confidence level: 100%),buy-cheap-online.us.org
domain,ClearFake payload delivery domain (confidence level: 100%),g1s.obvp-2.ru
ip-dst|port,DeimosC2 botnet C2 server (confidence level: 75%),148.178.32.138|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),43.249.172.121|28711
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),103.41.7.252|3093
url,KongTuke payload delivery URL (confidence level: 100%),https://medipeads.com/js.php
ip-dst|port,Mirai botnet C2 server (confidence level: 80%),45.32.211.159|51515
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),103.39.16.245|3093
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 100%),167.160.89.158|10001
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 50%),145.82.185.205|9000
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),xurekodip.com
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),grateb.lat
sha1,Luca Stealer payload (confidence level: 95%),0ba40c580cc457ea0c50f0c10bc1c9b22811818c
domain,ClearFake payload delivery domain (confidence level: 100%),x2z.7aoasu3.ru
