Type,Comment,Value
ip-dst|port,SectopRAT botnet C2 server (confidence level: 100%),80.64.19.202|9000
ip-dst|port,SectopRAT botnet C2 server (confidence level: 100%),194.165.16.68|9000
domain,Unknown malware payload delivery domain (confidence level: 100%),heras.cfd
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),18.162.232.161|9600
domain,Unknown malware payload delivery domain (confidence level: 100%),analyticasnodez.com
ip-dst|port,Brute Ratel C4 botnet C2 server (confidence level: 100%),35.79.211.69|80
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),49.228.131.157|6760
domain,Unknown malware credit card skimming domain (confidence level: 100%),servicezqp.lol
ip-dst|port,Meterpreter botnet C2 server (confidence level: 100%),3.80.46.247|83
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),45.64.246.16|8888
sha1,FatalRat payload (confidence level: 95%),b44318f5997e6747f2587ab6cda6c367aac0f5e9
url,Stealc botnet C2 (confidence level: 50%),https://62.60.226.188/e9591576f6114884.php
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),164.90.230.62|31337
url,Koi Loader botnet C2 (confidence level: 100%),http://109.172.55.110/index.php
url,Lumma Stealer botnet C2 (confidence level: 75%),https://dzyzb.xyz/anby
ip-dst|port,Loki Password Stealer (PWS) botnet C2 server (confidence level: 75%),46.77.51.179|83
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),207.174.3.213|58888
ip-dst|port,BianLian botnet C2 server (confidence level: 100%),54.219.186.229|443
domain,NjRAT botnet C2 domain (confidence level: 100%),nglocalhost.com
domain,XWorm botnet C2 domain (confidence level: 100%),release-deficit.gl.at.ply.gg
domain,CyberGate botnet C2 domain (confidence level: 100%),mahmoudzoroo.myftp.biz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),119.3.216.13|8080
domain,Unknown malware payload delivery domain (confidence level: 100%),silome.sbs
url,Lumma Stealer botnet C2 (confidence level: 75%),https://siltapl.fun/xiru
ip-dst|port,Kaiji botnet C2 server (confidence level: 100%),192.238.128.194|8888
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.61.193.219|443
domain,ClearFake payload delivery domain (confidence level: 100%),el.rvox.ru
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),103.230.69.188|7443
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),78.181.216.57|222
url,Lumma Stealer botnet C2 (confidence level: 75%),https://smp.rodeo/riww/api
domain,ClearFake payload delivery domain (confidence level: 100%),11.t4mox.ru
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),43.135.78.62|963
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),18.162.56.61|8888
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),45.8.132.242|3333
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),195.178.110.135|5555
domain,MintsLoader botnet C2 domain (confidence level: 100%),robnzuwubz.top
url,Formbook botnet C2 (confidence level: 50%),http://www.awangmburiabang.sbs/um09/
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),23.94.111.229|4444
sha1,Rhadamanthys payload (confidence level: 95%),1fcf2946d767224ba8e4aca50c44c14ed9f36140
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),147.185.221.29|58500
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),65.38.121.161|8888
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),104.223.123.227|1234
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),14.205.93.45|80
url,Unknown Stealer botnet C2 (confidence level: 50%),https://wbarenux.pro/webpanel/panel/login.php
