Type,Comment,Value
url,HijackLoader payload delivery URL (confidence level: 100%),http://176.46.157.32/files/7234551096/hzhadup.exe
domain,HijackLoader botnet C2 domain (confidence level: 50%),linkedservlet.pro
url,Stealc payload delivery URL (confidence level: 100%),http://176.46.157.32/files/5296057416/i8ksmr9.exe
url,Stealc botnet C2 (confidence level: 100%),http://62.233.53.75/393589217af146c5.php
ip-dst|port,Stealc botnet C2 server (confidence level: 100%),62.233.53.75|80
url,Vidar payload delivery URL (confidence level: 100%),http://66.63.187.164/v999f8.exe
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),eyertyn.lat
domain,HijackLoader botnet C2 domain (confidence level: 100%),www.jpchacha.com
url,Stealc botnet C2 (confidence level: 100%),http://45.141.233.187/7d1ca61c169b4862.php
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ltdvjvr.top
url,Amadey payload delivery URL (confidence level: 100%),http://176.46.157.32/testmine/random.exe
domain,NetSupportManager RAT botnet C2 domain (confidence level: 100%),uponmap.com
domain,NetSupportManager RAT botnet C2 domain (confidence level: 100%),jojo-ent.com
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),185.177.239.63|443
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),resutato.com
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),5.230.226.36|23004
domain,Unknown malware payload delivery domain (confidence level: 100%),security.flearengauurd.com
domain,Unknown malware payload delivery domain (confidence level: 100%),haciver.com
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),smithenv.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://smithenv.com/5r22q.js
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),185.212.56.93|60000
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),1.197.72.113|40000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.220|2000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),167.235.213.2|44783
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),51.81.171.234|443
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),209.151.150.4|8000
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 100%),67.220.72.161|10001
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),196.251.71.173|7788
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),45.74.10.206|6000
url,Amatera botnet C2 (confidence level: 100%),http://91.84.109.91/sign-in
url,DCRat botnet C2 (confidence level: 100%),http://144403cm.nyash.es/externaljavascriptmultiwp.php
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),183.90.187.173|52137
ip-dst|port,FatalRat botnet C2 server (confidence level: 100%),206.238.196.239|8081
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),ecs-123-60-142-31.compute.hwclouds-dns.com
url,DCRat botnet C2 (confidence level: 100%),http://841333cm.nyash.es/imagevideo_packetprotectbaselinuxuniversal.php
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.94.98.11|80
ip-dst|port,Sliver botnet C2 server (confidence level: 90%),36.137.179.7|20000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.113.10|1000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),194.48.248.102|7443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.122.62.142|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),115.175.70.57|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.136.75.182|9090
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.218.34.196|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),147.93.120.9|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.71.110.191|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),143.198.90.71|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),51.20.116.223|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),23.95.39.53|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),66.179.208.121|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.221.30.147|8443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),146.59.14.101|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),123.231.128.42|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.43.115.216|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),171.244.143.6|8080
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),34.195.27.174|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.199.21.106|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),47.117.71.220|8085
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),209.145.58.37|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.102.7.167|443
ip-dst|port,Bashlite botnet C2 server (confidence level: 90%),176.65.148.60|23
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),205.209.99.87|5555
ip-dst|port,SectopRAT botnet C2 server (confidence level: 100%),178.236.254.136|9000
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),18.163.238.189|13325
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),18.142.251.30|2628
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),88.17.115.11|443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),35.180.255.4|2456
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),35.180.255.4|20256
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),35.180.255.4|26306
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 100%),114.67.112.246|10001
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 100%),223.109.90.110|10001
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),159.69.228.247|1331
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),45.153.34.4|19000
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),202.95.22.109|443
ip-dst|port,Nanocore RAT botnet C2 server (confidence level: 100%),192.169.69.26|3395
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),51.89.204.11|53454
url,DCRat botnet C2 (confidence level: 100%),http://239024cm.nyash.es/jslow.php
url,Lumma Stealer botnet C2 (confidence level: 75%),https://josyfs.shop/zpad
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),192.210.174.155|8888
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),45.90.97.91|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),103.38.81.125|443
domain,Unknown Stealer botnet C2 domain (confidence level: 100%),westcnds.asia
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),88.180.187.70|20000
ip-dst|port,RedLine Stealer botnet C2 server (confidence level: 100%),160.202.133.53|59897
url,Stealc botnet C2 (confidence level: 100%),http://193.169.105.242
domain,ValleyRAT botnet C2 domain (confidence level: 100%),masike4.preech.top
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),23.249.28.223|90
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),38.45.122.106|4756
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),38.45.122.106|1188
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),45.144.214.51|7084
ip-dst|port,PureLogs Stealer botnet C2 server (confidence level: 100%),195.26.227.209|7705
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),154.82.68.142|12617
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),120.24.241.109|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.128.227.157|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),94.130.241.163|8808
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.127.6.17|7443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),3.25.173.252|2053
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),103.150.215.39|80
ip-dst|port,Latrodectus botnet C2 server (confidence level: 90%),167.160.161.111|443
ip-dst|port,Eye Pyramid botnet C2 server (confidence level: 75%),162.252.174.65|55555
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),212.64.201.67|41120
domain,Unknown malware botnet C2 domain (confidence level: 100%),server1.stellar-iot.net
domain,Unknown malware botnet C2 domain (confidence level: 100%),iot.stellar-iot.net
domain,Joker payload delivery domain (confidence level: 75%),meosne.fit
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),31.57.97.31|2020
domain,XWorm botnet C2 domain (confidence level: 100%),dariusfanxwomrskiddedaahh-40602.portmap.host
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),196.251.113.11|2414
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),216.250.252.62|2404
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),77.90.153.167|2404
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),193.164.6.92|3002
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),148.66.21.238|403
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),176.65.148.60|9999
domain,Quasar RAT botnet C2 domain (confidence level: 100%),compare-jennifer.gl.at.ply.gg
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),104.12.206.171|5552
domain,NjRAT botnet C2 domain (confidence level: 100%),mbc2.no-ip.biz
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),104.143.46.155|6666
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),104.143.46.155|8888
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),119.45.71.217|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),39.104.16.175|4444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),148.135.102.82|8008
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.120.32.72|8069
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),113.46.198.202|3333
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),81.70.158.144|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),52.4.38.106|443
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),62.234.116.46|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),209.38.66.239|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),178.132.0.217|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),89.111.143.7|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),4.197.155.50|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),80.64.19.99|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),43.250.175.68|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),164.90.230.62|31337
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),108.136.163.59|4444
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),118.122.8.157|10393
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),51.112.44.22|8649
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),51.94.27.205|902
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),15.237.253.95|4321
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),80.153.197.234|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),162.0.216.188|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),3.145.103.147|9993
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),51.250.8.230|21262
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),13.37.224.116|9999
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 50%),8.218.30.185|443
ip-dst|port,DarkComet botnet C2 server (confidence level: 50%),77.105.161.10|1604
ip-dst|port,Xtreme RAT botnet C2 server (confidence level: 50%),118.107.244.36|10001
url,Lumma Stealer botnet C2 (confidence level: 50%),https://www.6de608ff-aa77-4dd5-92aa-e31dc31d225b.sasha-solzhenicyn.ru/login
url,Lumma Stealer botnet C2 (confidence level: 50%),https://pypvvsfeoonrustore.sasha-solzhenicyn.ru/login
url,Lumma Stealer botnet C2 (confidence level: 50%),https://staging.fedor-turin.ru/login
domain,DarkComet botnet C2 domain (confidence level: 50%),alfons.ddns.net
domain,DCRat botnet C2 domain (confidence level: 50%),piotr2222-40866.portmap.host
domain,Mirai botnet C2 domain (confidence level: 50%),last.galaxias.cc
domain,Mirai botnet C2 domain (confidence level: 50%),net.bolo.gay
domain,Quasar RAT botnet C2 domain (confidence level: 50%),app.youroboter.com
domain,Quasar RAT botnet C2 domain (confidence level: 50%),cloud.youroboter.com
url,StrongPity botnet C2 (confidence level: 50%),https://srv-cdn3-system.com/gon9z2in7myqmn92dzx11cql.php
url,StrongPity botnet C2 (confidence level: 50%),https://srv-cdn3-system.com/p5pss34gvx21pxo0bz25vlqu.php
domain,Tofsee botnet C2 domain (confidence level: 50%),indro.top
domain,XWorm botnet C2 domain (confidence level: 50%),employees-churches.gl.at.ply.gg
domain,XWorm botnet C2 domain (confidence level: 50%),small-bend.gl.at.ply.gg
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),62crwk8ep4k5a.cfc-execute.bj.baidubce.com
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),map.nlscmap.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.131.189.36|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),103.131.189.36|4433
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),192.144.170.96|443
ip-dst|port,FAKEUPDATES botnet C2 server (confidence level: 100%),137.220.56.36|443
url,Lumma Stealer payload delivery URL (confidence level: 100%),https://github.com/sp-dereckdaschke/gmbh/releases/download/2.2/gmbh_2.2.zip
url,Lumma Stealer botnet C2 (confidence level: 75%),https://bqeto.pics/zman
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),159.75.155.46|2096
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),149.104.29.31|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),213.209.150.161|2404
ip-dst|port,Matanbuchus botnet C2 server (confidence level: 100%),193.242.149.17|80
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),179.100.49.116|5000
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),18.183.141.66|2000
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),18.183.141.66|9200
ip-dst|port,MooBot botnet C2 server (confidence level: 100%),103.149.253.104|80
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),38.57.129.243|5536
url,Lumma Stealer botnet C2 (confidence level: 100%),https://client.durov-gifts.app/api/live/
url,DCRat botnet C2 (confidence level: 100%),http://cf33425.tw1.ru/2a78a4c3.php
ip-dst|port,XWorm botnet C2 server (confidence level: 75%),159.223.120.36|8069
ip-dst|port,XWorm botnet C2 server (confidence level: 75%),164.132.75.20|7000
ip-dst|port,ResolverRAT botnet C2 server (confidence level: 75%),91.84.102.219|56001
ip-dst|port,Unknown RAT botnet C2 server (confidence level: 75%),94.26.90.4|8041
domain,Remcos botnet C2 domain (confidence level: 100%),qui.realmensw.top
domain,AsyncRAT botnet C2 domain (confidence level: 100%),dc070925.duckdns.org
url,Lumma Stealer botnet C2 (confidence level: 100%),https://joylyzv.top/arjs
url,Lumma Stealer botnet C2 (confidence level: 100%),https://flhg.pics/xdlk/api
url,Stealc botnet C2 (confidence level: 100%),http://87.120.126.216
url,Stealc botnet C2 (confidence level: 100%),http://95.215.207.47
url,Stealc botnet C2 (confidence level: 100%),http://213.209.150.27
domain,CyberGate botnet C2 domain (confidence level: 100%),bambaz0r.zapto.org
domain,Remcos botnet C2 domain (confidence level: 100%),logscomenow.sbs
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),45.156.87.138|12121
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),45.133.116.121|8791
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),206.119.178.103|8080
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 75%),119.152.232.82|7779
domain,AsyncRAT botnet C2 domain (confidence level: 100%),testermania.theworkpc.com
domain,JanelaRAT botnet C2 domain (confidence level: 100%),collect.installeranalytics.com
ip-dst|port,PureLogs Stealer botnet C2 server (confidence level: 75%),198.135.51.90|62520
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),194.59.31.4|6520
url,Unknown malware botnet C2 (confidence level: 100%),https://trobersound.com/diagnostics.php
url,Unknown malware botnet C2 (confidence level: 100%),https://foundersthub.org/bihtfcvhegeomrv/wccod7jy3zwupdh.php
