Type,Comment,Value
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),185.113.223.229|9900
ip-dst|port,Remcos botnet C2 server (confidence level: 75%),104.37.4.151|8015
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),158.69.129.111|80
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),146.70.44.174|43211
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),47.101.33.97|9999
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),137.184.144.245|4782
ip-dst|port,NjRAT botnet C2 server (confidence level: 100%),3.78.28.71|18858
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),43.208.229.32|1024
domain,Mirai botnet C2 domain (confidence level: 50%),mdnsucchim.ddns.net
url,Formbook botnet C2 (confidence level: 50%),http://www.mauirpm.com/hx344/
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),185.149.233.28|2404
ip-dst|port,DarkComet botnet C2 server (confidence level: 50%),41.143.213.119|11401
url,Formbook botnet C2 (confidence level: 50%),http://www.roofing-services-34072.bond/tu90/
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),157.230.34.254|80
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),180.76.133.249|443
url,Formbook botnet C2 (confidence level: 50%),http://www.et-alphacustcare-team.top/kk14/
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),146.70.87.64|43211
domain,Quasar RAT botnet C2 domain (confidence level: 100%),harunet.airdns.org
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),197.3.92.99|443
url,Stealc botnet C2 (confidence level: 100%),http://178.236.252.126/d1efdd996aae4f49.php
ip-dst|port,Bashlite botnet C2 server (confidence level: 100%),31.58.58.115|80
ip-dst|port,BianLian botnet C2 server (confidence level: 100%),151.236.16.111|724
sha256,AMOS payload (confidence level: 100%),fe79154ff463921a7abf67175ec3abbc2f74b814edb3018a79b20360570813ff
sha256,AMOS payload (confidence level: 100%),1072f277152a7d5de73340a9e287548a1178fb167f6b82d8a9a6409e754adae6
ip-dst|port,Unknown Loader botnet C2 server (confidence level: 75%),193.239.237.85|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),198.176.59.38|443
domain,Formbook botnet C2 domain (confidence level: 50%),www.ental-implants-21479.bond
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.43.197.69|8088
domain,Formbook botnet C2 domain (confidence level: 50%),www.cvkisegy.shop
ip-dst|port,FAKEUPDATES botnet C2 server (confidence level: 75%),184.162.20.43|443
domain,Interlock botnet C2 domain (confidence level: 50%),windows-msg-as.com
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),195.82.147.40|31337
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),113.45.228.7|6000
domain,Unknown malware payload delivery domain (confidence level: 100%),print-documents.freedynamicdns.net
url,Stealc botnet C2 (confidence level: 100%),http://olympiwurer.biz/c05a96621c8f4279.php
