Type,Comment,Value
domain,XWorm botnet C2 domain (confidence level: 100%),french-nasdaq.gl.at.ply.gg
url,Lumma Stealer botnet C2 (confidence level: 100%),https://creewuh.shop/qazx
domain,XWorm botnet C2 domain (confidence level: 100%),form-saver.gl.at.ply.gg
sha1,KrakenKeylogger payload (confidence level: 95%),3738c9390b0737e0961506411f3713b6ea48240a
ip-dst|port,Nanocore RAT botnet C2 server (confidence level: 50%),103.57.130.241|54984
url,Formbook botnet C2 (confidence level: 50%),http://www.rand-bewin.pro/um09/
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),map.nlscmap.com
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),167.86.145.216|443
url,Formbook botnet C2 (confidence level: 50%),http://www.ataract-surgery-85805.bond/um09/
domain,ClearFake payload delivery domain (confidence level: 100%),ik.yjor.ru
domain,ClearFake payload delivery domain (confidence level: 100%),0g.su-4n.ru
sha256,KrakenKeylogger payload (confidence level: 95%),e0b4de8edbfab9c43be6369f3a1ec256e417d76f5358c2846126bb1fc43eafcf
sha256,Luca Stealer payload (confidence level: 95%),1d9bd7dfac193a4dfab75e59091f93b2a46232a7a461a6af02b0dddb0b509346
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),1357504293-h43knumeov.ap-guangzhou.tencentscf.com
url,Glupteba botnet C2 (confidence level: 50%),https://server4.cdneurops.shop/
sha1,Vidar payload (confidence level: 95%),931cdaad1394884eba15f2c237db7df88885ee0e
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 75%),194.107.126.124|6379
url,Unknown malware payload delivery URL (confidence level: 90%),https://52.16.112.136/
domain,ClearFake payload delivery domain (confidence level: 100%),bark.sne-4-p.online
domain,Latrodectus botnet C2 domain (confidence level: 100%),novakremokasdogiosan.com
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),159.75.167.183|60000
domain,Unknown malware botnet C2 domain (confidence level: 100%),ec2-34-219-119-143.us-west-2.compute.amazonaws.com
sha256,NetWire RC payload (confidence level: 95%),55ae2ce1f1fd51a8896b38ca5b82d61f67c46523ee83c612a169d1735786933a
domain,SPICA botnet C2 domain (confidence level: 50%),s4.kefel.tech
domain,ValleyRAT botnet C2 domain (confidence level: 100%),ak6.ksdcks2.org
domain,ClearFake payload delivery domain (confidence level: 100%),pt6vy.knurlpocket.ru
url,Lumma Stealer botnet C2 (confidence level: 100%),https://t.me/kldslumba
ip-dst|port,DeimosC2 botnet C2 server (confidence level: 75%),15.197.129.209|443
sha256,Unknown malware payload (confidence level: 50%),d3d6c64ed37ae0fa3a40847903075607c2e94a3f4e9b058b52adf73859fad19c
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 50%),8.218.30.185|443
domain,FAKEUPDATES botnet C2 domain (confidence level: 100%),files.businessmondo.com
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),181.206.158.190|3000
url,Unknown malware payload delivery URL (confidence level: 50%),https://68gamewin7.shop/
