Type,Comment,Value
ip-dst|port,Unknown malware botnet C2 server (confidence level: 50%),45.138.68.10|9205
domain,MetaStealer botnet C2 domain (confidence level: 100%),mumgasecwiiyymuw.xyz
domain,BumbleBee botnet C2 domain (confidence level: 100%),y5cfe6fd3l0.life
domain,MetaStealer botnet C2 domain (confidence level: 100%),wogakskwsimesiyk.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),camkqeacqkqiykce.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),yikqycsgsceowwma.xyz
domain,Unknown malware payload delivery domain (confidence level: 100%),verif-proccess.com
domain,MetaStealer botnet C2 domain (confidence level: 100%),wyyqskemagwqsoso.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),ggqsgkiekumcmiiq.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),193.26.115.21|6969
md5,Luca Stealer payload (confidence level: 95%),9e4b003371aae07e9570d8d771afed07
domain,MetaStealer botnet C2 domain (confidence level: 100%),imswawegccekaaam.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),ggekascgmkgwooyo.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),imougmeygasiagqk.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.470fv.top
domain,MetaStealer botnet C2 domain (confidence level: 100%),uigqemagsoyecces.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),uiacaeoiioeciauc.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),eacukwakoggawwcc.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),oywcqeokmwcqcsqs.xyz
sha1,KrakenKeylogger payload (confidence level: 95%),5f008ac66519fae46062c991ed1734c1dbde053e
ip-dst|port,Ave Maria botnet C2 server (confidence level: 100%),196.251.115.121|4422
url,Unknown malware botnet C2 (confidence level: 100%),http://8.218.254.239:8888/supershell/login/
domain,Glupteba botnet C2 domain (confidence level: 50%),server3.cdneurops.health
domain,MetaStealer botnet C2 domain (confidence level: 100%),qcwuygeimmogegcy.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),qmgiuaeeimemokie.xyz
ip-dst|port,Venom RAT botnet C2 server (confidence level: 100%),200.100.117.217|7000
domain,MetaStealer botnet C2 domain (confidence level: 100%),kqosimqgmemaqgww.xyz
domain,Formbook botnet C2 domain (confidence level: 50%),www.pupua05.app
domain,SideWinder botnet C2 domain (confidence level: 50%),hisidewindersidewinder.pimec-paknavy.updates-installer.store
domain,MetaStealer botnet C2 domain (confidence level: 100%),woemikuaegsggcoi.xyz
sha256,NjRAT payload (confidence level: 95%),b84e1918251ab01c78812d26711528b38394633cdb819e5a9db2ce1fa865b4bf
domain,Formbook botnet C2 domain (confidence level: 50%),www.aubergerestaurant.shop
domain,Glupteba botnet C2 domain (confidence level: 50%),server4.cdneurops.shop
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.128.251.8|9999
url,DCRat botnet C2 (confidence level: 50%),https://pastebin.com/raw/v3eeeaym
domain,MetaStealer botnet C2 domain (confidence level: 100%),mysuuwmuiwwwwmks.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),qcqiaocswyayqgks.xyz
domain,XWorm botnet C2 domain (confidence level: 100%),mb-angeles.gl.at.ply.gg
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.56.90|11337
domain,MetaStealer botnet C2 domain (confidence level: 100%),wmgqwgkqwwysqgaa.xyz
sha256,Vidar payload (confidence level: 95%),3561b5b3972012641075bec94d5e9783ddb71aa9fc32762a09d80fcaf074bd2a
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),118.122.8.155|8594
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 50%),49.235.154.212|8080
md5,Agent Tesla payload (confidence level: 95%),c0c81d2a0a4dcbd7c353084a927c539c
domain,MetaStealer botnet C2 domain (confidence level: 100%),ukouyoqaskckuqao.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://feasterxeen.run/zavc
domain,MetaStealer botnet C2 domain (confidence level: 100%),owqcwqkaaoygigci.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.214.144|54415
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),154.221.16.38|80
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),15.185.76.243|30487
domain,MetaStealer botnet C2 domain (confidence level: 100%),kosaokokoooicumc.xyz
url,Formbook botnet C2 (confidence level: 50%),http://www.ifetimehardwoodfloors.net/i26e/
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.255.158.126|8888
domain,MetaStealer botnet C2 domain (confidence level: 100%),muookgakyiowqcsm.xyz
domain,CryptBot botnet C2 domain (confidence level: 100%),bibikyky01.top
domain,BumbleBee botnet C2 domain (confidence level: 100%),q1cvhi9onpu.life
domain,MetaStealer botnet C2 domain (confidence level: 100%),gmsoyaqgguceqymk.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),ywgaeesceuqowsuo.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.56|1272
domain,BumbleBee botnet C2 domain (confidence level: 100%),88kwlc3k73o.life
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),157.175.147.11|2086
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),41.143.203.137|8140
domain,MetaStealer botnet C2 domain (confidence level: 100%),wmywwcwakmkckiuc.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),owyeeaocwccuuwom.xyz
url,Glupteba botnet C2 (confidence level: 50%),http://server1.localstats.org/
domain,MetaStealer botnet C2 domain (confidence level: 100%),aawmmgscqmqaiweo.xyz
domain,DarkComet botnet C2 domain (confidence level: 100%),flooderx220.no-ip.info
sha1,Mars Stealer payload (confidence level: 95%),51f638d43dc1e84a49a92970e281568060507ded
domain,MetaStealer botnet C2 domain (confidence level: 100%),gskocqcgcceueoks.xyz
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),47.129.155.195|2444
url,Lumma Stealer botnet C2 (confidence level: 100%),https://buineeeitalypost.top/api
sha256,Luca Stealer payload (confidence level: 95%),4e0f1f8556f25ec68464bc0cc2195194e10d008724ee09e22ea450144dff1ed7
domain,MetaStealer botnet C2 domain (confidence level: 100%),ukwcgyyaooakcuuu.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),woiesimmeuwqkcao.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),woakaemmsimisiea.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://vovercovtcg.top/juhd
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 50%),105.156.224.14|8889
domain,MetaStealer botnet C2 domain (confidence level: 100%),ggimqkcwysywsguk.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),sgcsiimwecicomsm.xyz
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),185.107.74.54|443
domain,DCRat botnet C2 domain (confidence level: 50%),album-blocks.gl.at.ply.gg
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 100%),182.16.29.165|8520
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.203.137|995
url,Unknown Stealer botnet C2 (confidence level: 50%),https://olympus.mov/
domain,MetaStealer botnet C2 domain (confidence level: 100%),ikwawysegaeqmcmw.xyz
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),70.31.125.18|2222
url,Formbook botnet C2 (confidence level: 50%),http://www.roundsales.store/i26e/
domain,MetaStealer botnet C2 domain (confidence level: 100%),yqesaequaucgyeem.xyz
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),196.251.88.201|8545
url,KongTuke payload delivery URL (confidence level: 100%),http://z98123.top/12
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.206.243|6643
ip-dst|port,Hook botnet C2 server (confidence level: 100%),144.91.94.147|80
sha1,AsyncRAT payload (confidence level: 95%),158c7f76b41badd3529313a706b20779bd3fd02a
sha256,DBatLoader payload (confidence level: 95%),ba4445c6d1d77f573ea271d1898c51485b0a49980f16a73205c4f0c5cefe89fc
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),196.64.212.113|47889
domain,Glupteba botnet C2 domain (confidence level: 50%),server4.statsexplorer.org
domain,MetaStealer botnet C2 domain (confidence level: 100%),msssmcsyommumcui.xyz
sha256,Mars Stealer payload (confidence level: 95%),7d13b48475bd9f30e2a971485d34336a1bc684e181f471c92f4f1e3bdf40fd8a
md5,DCRat payload (confidence level: 95%),3cfca059a9110f3137c1786a194b2f6e
domain,MetaStealer botnet C2 domain (confidence level: 100%),msqmkmskyusqowwa.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),owayuowyekoiseqg.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),eemqigccwmgswyoc.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://radfyzg.digital/dfr
ip-dst|port,SpyNote botnet C2 server (confidence level: 100%),51.254.34.230|7771
domain,MetaStealer botnet C2 domain (confidence level: 100%),ggwymswqwmywukmg.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.179.154.140|12790
domain,MetaStealer botnet C2 domain (confidence level: 100%),ikucoeimwkuiouuc.xyz
domain,Glupteba botnet C2 domain (confidence level: 50%),server14.cdneurops.health
domain,MetaStealer botnet C2 domain (confidence level: 100%),sewcsyiwkgmmyggu.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),yiacyuawawmuguqq.xyz
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.94.228.130|4443
domain,MetaStealer botnet C2 domain (confidence level: 100%),ggmoiiooqacyekqe.xyz
sha256,Mars Stealer payload (confidence level: 95%),0aeece4c4461ace0d58caad32cd312c11a90afe221783f6ea2b09d29a3a9e9cb
domain,MetaStealer botnet C2 domain (confidence level: 100%),ugeqmaqqieimwics.xyz
domain,Unknown malware payload delivery domain (confidence level: 100%),home-and-forum.com
ip-dst|port,BlackShades botnet C2 server (confidence level: 50%),34.219.52.112|7801
domain,MetaStealer botnet C2 domain (confidence level: 100%),oysuasqceuakqokc.xyz
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),176.65.134.55|7000
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),41.143.213.119|14265
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.179.163.117|4839
domain,MetaStealer botnet C2 domain (confidence level: 100%),cmguoamgeukykomo.xyz
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),sdnews.top
domain,MetaStealer botnet C2 domain (confidence level: 100%),wmmoceaqcqcmycak.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://ujackthyfuc.run/xpas
ip-dst|port,MooBot botnet C2 server (confidence level: 100%),93.127.128.61|80
sha256,Luca Stealer payload (confidence level: 95%),fffed6c244f51a8039b7d00ebae00dab486579f761be4906ad527721b5480b6b
md5,SombRAT payload (confidence level: 95%),d627f59f661818877fb869f16ec20e34
domain,MetaStealer botnet C2 domain (confidence level: 100%),yemgccecwiymmqem.xyz
url,Unknown Stealer botnet C2 (confidence level: 100%),https://domainservicecontrol.com/upload.php
domain,Latrodectus botnet C2 domain (confidence level: 100%),prot12-05.com
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.179.154.140|34421
url,Unknown malware payload delivery URL (confidence level: 50%),https://sharefilesonline.net/cloudflare
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.178.56.90|11211
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),cv9bpfn9kk9vq.cfc-execute.bj.baidubce.com
domain,MetaStealer botnet C2 domain (confidence level: 100%),ecyskeocukkmawko.xyz
url,Lumma Stealer botnet C2 (confidence level: 100%),https://xijackthyfuc.run/xpas
domain,MetaStealer botnet C2 domain (confidence level: 100%),seksqiuamwwssqcc.xyz
sha256,Coinminer payload (confidence level: 95%),3b5f80682a2aef3b0d8da37a6513fe3c3f1042970249a9fd959bff8ffe046798
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.156.224.14|20183
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),213.209.143.36|4444
domain,BumbleBee botnet C2 domain (confidence level: 100%),zro95b8zb3r.life
url,Lumma Stealer botnet C2 (confidence level: 100%),https://8winterghzp.digital/ywq
domain, X-Files Stealer botnet C2 domain (confidence level: 50%),updownupcdn.cfd
domain,MetaStealer botnet C2 domain (confidence level: 100%),ecwwcwcgygwomuyo.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),uisosymcmqgosyak.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),muwuwuksesyqqamy.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),qcgcmawmecqwsssg.xyz
domain,MetaStealer botnet C2 domain (confidence level: 100%),eeumkwoeosigckiw.xyz
sha1,KrakenKeylogger payload (confidence level: 95%),b1aae1680294207b623f46f53c04fa96cd302969
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),217.154.27.75|8000
url,Latrodectus payload delivery URL (confidence level: 95%),https://join.hjc.org.hk/wp-content/plugins/wp-either-forms/index.php?r=bd1odhrwczovl2rxcmridi5jb20v
domain,Glupteba botnet C2 domain (confidence level: 50%),server12.filesdumpplace.org
sha1,Quasar RAT payload (confidence level: 95%),1423c9209f966edb4bc2d57dbce76000584b58d4
domain,SpyNote botnet C2 domain (confidence level: 100%),common-smoke.gl.at.ply.gg
domain,MetaStealer botnet C2 domain (confidence level: 100%),kqsisisgeeywugac.xyz
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),185.91.127.173|999
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),105.156.224.14|752
domain,MetaStealer botnet C2 domain (confidence level: 100%),uikgmuwmwygigqgy.xyz
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),168.231.71.22|443
md5,Luca Stealer payload (confidence level: 95%),4281ed62aa255ec35ea4d46844385bd0
domain,MetaStealer botnet C2 domain (confidence level: 100%),ouuacakmcowqegky.xyz
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),160.179.163.117|20379
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),179.43.139.125|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),incxwf.shop
