Type,Comment,Value
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),80.76.49.130|5000
url,Formbook botnet C2 (confidence level: 50%),http://www.wholesalemeat.today/egs9/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),8.137.9.110|80
domain,Remcos botnet C2 domain (confidence level: 100%),tvrcehcwdg.tvrcemeheff.euinnos.com
ip-dst|port,Sliver botnet C2 server (confidence level: 75%),65.87.7.80|8888
url,Lumma Stealer botnet C2 (confidence level: 75%),https://ibugildbett.top/api
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 50%),91.241.5.44|5446
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),creativxecorner.tech
url,Formbook botnet C2 (confidence level: 50%),http://www.entist-dental-care-75596.bond/ka18/
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),172.232.125.162|443
domain,XWorm botnet C2 domain (confidence level: 50%),customer-performances.gl.at.ply.gg
domain,Remcos botnet C2 domain (confidence level: 50%),angel234se94.ru
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),81.70.21.198|443
sha256,MimiKatz payload (confidence level: 50%),b7242550a56ea02284c2e943357263dff883126bb3cc3a6653045fcd67d9b2d6
url,Formbook botnet C2 (confidence level: 50%),http://www.ultigenius.xyz/hm26/
sha256,MimiKatz payload (confidence level: 50%),69ff04aa3967dd2747e33cd97e7517026d49eaf13340774b6a0d5d7fd95ac35f
domain,Xtreme RAT botnet C2 domain (confidence level: 100%),powadada.no-ip.org
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),173.212.236.196|3434
sha256,MimiKatz payload (confidence level: 50%),6908a100842afdb296c05e0453770b61e1c8b418fed6476961bbcb38f99cc312
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),fcrosshairc.life
domain,Formbook botnet C2 domain (confidence level: 50%),www.ovepeace-jp.net
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),176.65.144.179|19000
sha256,MimiKatz payload (confidence level: 50%),4626455cbccbd50746623cf539e76d5e8214a7c973fc44c9ed0fbffff9c65e3e
domain,Ramnit botnet C2 domain (confidence level: 50%),asuknifg.com
domain,Unknown malware payload delivery domain (confidence level: 50%),gilchristautomotive.com
url,Formbook botnet C2 (confidence level: 50%),http://www.dityainfotech.shop/ka18/
ip-dst|port,Eye Pyramid botnet C2 server (confidence level: 75%),104.245.241.71|443
sha256,MimiKatz payload (confidence level: 50%),251c4fbe4913cdfee45782216633514688978cbc1600ae58ea3dc6cb6559061f
domain,Formbook botnet C2 domain (confidence level: 50%),www.riceflashradarlab.xyz
url,Formbook botnet C2 (confidence level: 50%),http://www.imalayanscent.shop/hm26/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),210.56.48.111|80
ip-dst|port,Chaos botnet C2 server (confidence level: 100%),168.100.10.177|8080
ip-dst|port,Hook botnet C2 server (confidence level: 100%),20.191.194.222|8089
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),43.139.221.182|8888
domain,Unknown RAT botnet C2 domain (confidence level: 75%),oghelp.top
sha256,MimiKatz payload (confidence level: 50%),37af2ae2e8cf618d5ad095b26a636a22377cbad8c8dcac3f0f41d0e7f4d6c9c6
domain,Unknown RAT botnet C2 domain (confidence level: 50%),rollrer.ylohelp.top
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),119.45.120.34|443
url,Formbook botnet C2 (confidence level: 50%),http://www.gobg.net/egs9/
url,Formbook botnet C2 (confidence level: 50%),http://www.truthverse.xyz/g43m/
domain,Unknown RAT botnet C2 domain (confidence level: 50%),mktulori.otbhelp.top
url,Lumma Stealer botnet C2 (confidence level: 75%),https://whtardwarehu.icu/api
url,Formbook botnet C2 (confidence level: 50%),http://www.nsightyogaboston.online/sm05/
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),103.17.38.43|7707
sha256,MimiKatz payload (confidence level: 50%),3fb8751316272b5e63145230668a48cb28a855b31e70117caa3402b665ad5b86
sha256,MimiKatz payload (confidence level: 50%),b4ed1b8c69f015267b42ead919a28c1f7dff3a5b2d2719816121f9f329d6e1a4
sha256,MimiKatz payload (confidence level: 50%),290a57eb91208b22d7a5524cbe464f8370518349ffd735fc15ae9b6d6fc06175
sha256,MimiKatz payload (confidence level: 50%),c2e1ba266aa158636ea3470ba6ab7084bb65d6811131c550d8c6357ca0bbaedd
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),85.107.13.131|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),36.213.31.77|10443
domain,ClearFake payload delivery domain (confidence level: 100%),check.jipuh.icu
domain,Formbook botnet C2 domain (confidence level: 50%),www.oodwin-law.cfd
domain,Unknown RAT botnet C2 domain (confidence level: 50%),grip08r.top
url,Lumma Stealer botnet C2 (confidence level: 75%),https://3cjlaspcorne.icu/api
sha256,MimiKatz payload (confidence level: 50%),b3d15067a5beeae347cd0c5a694978505fbb88519a65528730424fbad5fe9870
ip-dst|port,Mirai botnet C2 server (confidence level: 100%),168.235.111.72|853
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://kkmic.com/js.php
url,Lumma Stealer botnet C2 (confidence level: 100%),https://9mrodularmall.top/api
sha256,MimiKatz payload (confidence level: 50%),e41a24fe4d78253d73e552dec4452581531abc79a47645003e4800465cd3113b
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.homeimprovementbox.website
url,Formbook botnet C2 (confidence level: 50%),http://www.ortop-corp.net/hm26/
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),172.245.118.252|40996
sha256,MimiKatz payload (confidence level: 50%),2fb9f57b73422459258e775a93f296e000cc825bdad4f2d45680344eb98f6e01
domain,Bashlite botnet C2 domain (confidence level: 100%),autodiscover.a.multi-canale.com
domain,DarkComet botnet C2 domain (confidence level: 100%),fredchen.gotdns.ch
domain,XWorm botnet C2 domain (confidence level: 50%),thought-administrative.gl.at.ply.gg
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),40.81.23.3|80
domain,Phorpiex botnet C2 domain (confidence level: 50%),afieifaieudhhudz.su
domain,Ramnit botnet C2 domain (confidence level: 50%),xsjmkpidceqdbr.com
sha256,MimiKatz payload (confidence level: 50%),4937ad1c1097c5ece5600dfcb37b014e4117c3dbd8993bd6c02db5362d7790a4
sha256,MimiKatz payload (confidence level: 50%),722ea93e58ed4187444de4c3ec23631e7685b41ae3732b8e100453f3e8b7037a
sha256,MimiKatz payload (confidence level: 50%),c7c4daab07efb8a0ae9f9f50cd4ba1f5bc484332688bad2b23411a7a5e077953
sha256,MimiKatz payload (confidence level: 50%),f33c887c0218a72b4e70ee232e53552e0cff50558a84caa15b9145106b8c8dd6
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),139.9.135.76|443
sha256,MimiKatz payload (confidence level: 50%),8c1e685c4d74b6d3deb7cb63a3797ddaa51c7fb8451b2531a036ef8ce55219f7
url,Formbook botnet C2 (confidence level: 50%),http://www.ohoji.xyz/gt23/
url,Lumma Stealer botnet C2 (confidence level: 100%),https://expldore.run/api
url,Lumma Stealer botnet C2 (confidence level: 100%),https://sectioarran.bet/api
domain,CyberGate botnet C2 domain (confidence level: 100%),nokia3310.no-ip.info
ip-dst|port,Sliver botnet C2 server (confidence level: 50%),87.121.79.95|31337
sha256,MimiKatz payload (confidence level: 50%),a9725d86f5f32f4c69e17cfb64b5293bb3597b789cd05efc35184c6824802682
url,Phorpiex botnet C2 (confidence level: 50%),http://awduhawduhuhhagae.top/
domain,Formbook botnet C2 domain (confidence level: 50%),www.leaningtasks-met-sas.click
sha256,MimiKatz payload (confidence level: 50%),088b156675d785254d5bd23206916a08a658fe093b7f82a57f8fe80002d8a2b0
url,Lumma Stealer botnet C2 (confidence level: 100%),https://wcrosshairc.life/api
url,MASS Logger payload delivery URL (confidence level: 50%),http://87.120.84.38/txt/rkbqmu7pcslqxbj.exe
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),118.25.110.209|80
url,SectopRAT payload delivery URL (confidence level: 100%),https://flowersmayer.click/lux/santare
domain,Formbook botnet C2 domain (confidence level: 50%),www.arrefitnessassociation.xyz
domain,Havoc botnet C2 domain (confidence level: 100%),cpanel.police-mt077.website
ip-dst|port,Unknown malware botnet C2 server (confidence level: 75%),47.79.18.250|60000
