Type,Comment,Value
domain,ClearFake payload delivery domain (confidence level: 100%),check.ioqoda.icu
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),194.180.191.171|443
ip-dst|port,FAKEUPDATES payload delivery server (confidence level: 100%),62.60.154.3|443
ip-dst|port,FAKEUPDATES payload delivery server (confidence level: 100%),108.59.7.43|443
domain,magecart credit card skimming domain (confidence level: 100%),mozillastatus.com
domain,magecart credit card skimming domain (confidence level: 100%),filtercategory.com
domain,magecart credit card skimming domain (confidence level: 100%),stripepayway.com
domain,magecart credit card skimming domain (confidence level: 100%),cachecaptcha.com
domain,magecart credit card skimming domain (confidence level: 100%),cdnnewassets.com
domain,magecart credit card skimming domain (confidence level: 100%),keritysuc.xyz
domain,magecart credit card skimming domain (confidence level: 100%),approvalreceipt.com
domain,magecart credit card skimming domain (confidence level: 100%),assets-tokens.com
domain,magecart credit card skimming domain (confidence level: 100%),cdnstatics.net
domain,magecart credit card skimming domain (confidence level: 100%),cdnstaticnetwork.net
domain,magecart credit card skimming domain (confidence level: 100%),webjquery.com
domain,magecart credit card skimming domain (confidence level: 100%),statnestt.com
domain,magecart credit card skimming domain (confidence level: 100%),cloudsolutio.com
domain,magecart credit card skimming domain (confidence level: 100%),cdnmozilla.com
domain,magecart credit card skimming domain (confidence level: 100%),cdn.jsdelivr.at
ip-dst|port,FAKEUPDATES payload delivery server (confidence level: 100%),23.133.88.96|443
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),exchange.tuckx.com
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://cryptohardware.shop/files/libeasier.js
domain,FAKEUPDATES payload delivery domain (confidence level: 100%),cryptohardware.shop
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://cryptohardware.shop/files/index.php
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://cryptohardware.shop/files/fixxx.php
url,FAKEUPDATES payload delivery URL (confidence level: 100%),https://consumer-compare.com/comcat.zip
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),46.121.250.34|7777
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),34.46.126.225|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),139.84.168.180|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),121.37.6.252|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),181.235.162.205|8888
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),179.43.176.3|3393
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),191.234.178.8|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),13.38.23.52|443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),104.37.215.108|8888
