Type,Comment,Value
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),91.92.46.210|1881
domain,ACR Stealer botnet C2 domain (confidence level: 100%),yu.troutbunion.bet
ip-dst|port,ACR Stealer botnet C2 server (confidence level: 100%),193.32.176.103|443
ip-dst|port,ACR Stealer botnet C2 server (confidence level: 100%),185.76.243.212|443
ip-dst|port,ACR Stealer botnet C2 server (confidence level: 100%),185.76.243.209|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),47.92.193.143|4444
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),24.196.214.71|80
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),172.94.9.229|5671
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),198.46.159.228|8888
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.155|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),103.190.107.26|80
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|790
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|808
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|990
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|1099
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|4444
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),189.177.111.253|4465
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.12.5|2003
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),51.92.224.227|9042
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),185.144.159.15|8080
ip-dst|port,AdaptixC2 botnet C2 server (confidence level: 100%),107.158.128.78|4321
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),23.95.68.186|19000
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),analytics.digitalflowcloud.com
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),dadanyohoocloud.com
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),h.yangthousand.hair
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),196.251.72.214|443
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),108.165.179.106|2330
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),146.70.149.155|8808
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),196.251.88.247|5672
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.155|5000
domain,Unknown malware botnet C2 domain (confidence level: 100%),31.213.176.34.bc.googleusercontent.com
domain,Havoc botnet C2 domain (confidence level: 100%),ozzytzy-anomali-adminjomok.panel-store-pterodactyl.my.id
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),206.189.13.43|443
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),118.107.46.82|443
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),111.92.240.215|443
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.250.24.180|1000
ip-dst|port,MimiKatz botnet C2 server (confidence level: 100%),85.9.198.2|8000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),159.75.130.224|60000
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.220.145.23|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),103.125.181.74|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),149.88.65.211|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.248.78.245|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),18.138.47.186|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),52.221.228.55|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.213.207.113|80
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),144.91.72.237|3333
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),164.90.176.178|443
ip-dst|port,ValleyRAT botnet C2 server (confidence level: 100%),18.163.212.208|6666
url,Lumma Stealer botnet C2 (confidence level: 75%),https://concvek.shop/gfhj
url,Lumma Stealer botnet C2 (confidence level: 75%),https://t.me/xfbeh45trehgs5y4
url,Lumma Stealer botnet C2 (confidence level: 75%),https://triobm.xyz/tapw
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),45.201.0.222|1000
url,DCRat botnet C2 (confidence level: 100%),http://maxsim87.beget.tech/javascriptrequestsecurewpcdn.php
domain,XWorm botnet C2 domain (confidence level: 100%),nsxauth.duckdns.org
domain,Remcos botnet C2 domain (confidence level: 100%),respaldofinal.kozow.com
domain,Quasar RAT botnet C2 domain (confidence level: 100%),1ms0rry-35873.portmap.io
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),90.133.225.228|4782
domain,NjRAT botnet C2 domain (confidence level: 100%),rrs123.no-ip.org
domain,NjRAT botnet C2 domain (confidence level: 100%),sidalibelkercha.ddns.net
domain,NjRAT botnet C2 domain (confidence level: 100%),hacker9393.ddns.net
