Type,Comment,Value
ip-dst|port,QakBot botnet C2 server (confidence level: 75%),74.104.205.212|995
sha256,AMOS payload (confidence level: 100%),69da90d9cd4081e13c5978cacd5bdaa5413bf355ecd510021c7f98c662ca687b
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),13.229.39.24|3333
sha256,AMOS payload (confidence level: 100%),6588127bd79d196a7cdbfeaa4dddc082574692f9c17a19542185cda6acca4bc9
ip-dst|port,Chaos botnet C2 server (confidence level: 100%),94.74.106.10|8080
sha256,AMOS payload (confidence level: 100%),430cac4c610fa454f1846373b977664a0677d12e82b70a2968576feb85872da9
domain,Unknown malware botnet C2 domain (confidence level: 100%),login.1ms.zip
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),54.87.185.33|20717
domain,Formbook botnet C2 domain (confidence level: 50%),www.broparking.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),49.232.151.106|8080
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),ec2-54-250-175-201.ap-northeast-1.compute.amazonaws.com
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),185.204.168.16|4782
domain,AsyncRAT botnet C2 domain (confidence level: 100%),informesespeciales123.duckdns.org
sha256,AMOS payload (confidence level: 100%),bda53bdf8f1315759268a9257fdcfe9afec0f9d7a3ffcc4e4963ee98777d0d06
domain,Quasar RAT botnet C2 domain (confidence level: 100%),s4ntiselac0m3-44679.portmap.io
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),205.209.99.214|7070
ip-dst|port,Hook botnet C2 server (confidence level: 100%),172.94.96.24|8089
sha256,AMOS payload (confidence level: 100%),101d6699d840622863716fe88b5106d8eb2e18a8607a17451c14cbdd255e9006
domain,Unknown malware payload delivery domain (confidence level: 100%),ananalyticsnodes.com
domain,Interlock botnet C2 domain (confidence level: 50%),teamsmsg-ns.live
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 50%),82.202.173.167|1025
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),urarfx.xyz
url,LockBit botnet C2 (confidence level: 50%),http://lockbitapyum2wks2lbcnrovcgxj7ne3ua7hhcmshh3s3ajtpookohqd.onion
url,Medusa botnet C2 (confidence level: 50%),https://t.me/zedezededeed
domain,Lumma Stealer botnet C2 domain (confidence level: 50%),couamcs.lat
domain,XWorm botnet C2 domain (confidence level: 100%),people-climbing.gl.at.ply.gg
ip-dst|port,Ghost RAT botnet C2 server (confidence level: 50%),185.68.215.146|80
domain,Unknown Stealer botnet C2 domain (confidence level: 50%),odyssey-st.com
domain,Formbook botnet C2 domain (confidence level: 50%),www.g51-lfoc1640.vip
domain,NjRAT botnet C2 domain (confidence level: 100%),1221.sytes.net
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),118.89.182.140|2053
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),115.190.74.103|9333
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),fazstpgnpnqb0.cfc-execute.bj.baidubce.com
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),comkxjs.xyz
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),3.35.206.79|20001
domain,Unknown malware payload delivery domain (confidence level: 100%),poqers.com
ip-dst|port,Remcos botnet C2 server (confidence level: 100%),192.3.176.155|1243
domain,Unknown malware botnet C2 domain (confidence level: 100%),outlook.teams.m365.acenm.com
