Type,Comment,Value
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),147.185.221.28|57330
domain,NjRAT botnet C2 domain (confidence level: 75%),industry-decreased.gl.at.ply.gg
url,KongTuke payload delivery URL (confidence level: 100%),https://dnsg-windows-ds-data.live/tss02t
domain,KongTuke payload delivery domain (confidence level: 100%),dnsg-windows-ds-data.live
url,KongTuke payload delivery URL (confidence level: 100%),https://adwwworks.com/4a3a.js
domain,KongTuke payload delivery domain (confidence level: 100%),adwwworks.com
url,KongTuke payload delivery URL (confidence level: 100%),https://adwwworks.com/js.php
url,KongTuke payload delivery URL (confidence level: 100%),http://z98123.top/12
domain,KongTuke payload delivery domain (confidence level: 100%),z98123.top
url,KongTuke payload delivery URL (confidence level: 100%),https://z98123.top/zfyg.h
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://syavsp5.top/lsass/jsson.js
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),syavsp5.top
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://syavsp5.top/lsass/index.js
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://celebratingseniors.net/header.php
url,NetSupportManager RAT payload delivery URL (confidence level: 100%),https://celebratingseniors.net/rats.zip
domain,NetSupportManager RAT payload delivery domain (confidence level: 100%),celebratingseniors.net
domain,Unknown malware payload delivery domain (confidence level: 100%),security.cloflguared.com
domain,Unknown malware payload delivery domain (confidence level: 100%),fopelas.com
url,Unknown malware payload delivery URL (confidence level: 100%),https://fopelas.com/flare.msi
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),120.24.175.227|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.239.195.154|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),207.246.91.209|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),43.139.79.104|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.92.212.224|443
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),8.148.230.78|443
url,Latrodectus payload delivery URL (confidence level: 95%),http://charlie.yourwebsitedemos.com/webe/mint-heights/wp-content/plugins/wp-assemblage-security/index.php?r=bd1odhrwczovl2rxcmridi5jb20v
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),196.251.116.228|3000
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),1.92.137.130|20014
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),212.11.64.75|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),80.66.81.163|443
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),103.245.231.17|31337
ip-dst|port,Sliver botnet C2 server (confidence level: 100%),13.209.15.32|8443
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),111.231.25.104|8889
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),172.111.184.15|8085
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.162|2000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),213.209.143.43|1414
ip-dst|port,NjRAT botnet C2 server (confidence level: 75%),105.106.35.186|1177
domain,NjRAT botnet C2 domain (confidence level: 75%),linadz07.ddns.net
domain,Havoc botnet C2 domain (confidence level: 100%),ec2-44-211-135-190.compute-1.amazonaws.com
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),40.192.27.89|1521
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),34.222.33.147|10002
ip-dst|port,MooBot botnet C2 server (confidence level: 100%),213.130.156.0|33066
ip-dst|port,Rhadamanthys botnet C2 server (confidence level: 100%),84.200.154.49|19000
ip-dst|port,Latrodectus botnet C2 server (confidence level: 90%),107.150.0.155|443
ip-dst|port,Mirai botnet C2 server (confidence level: 75%),103.130.213.53|45
ip-dst|port,FAKEUPDATES botnet C2 server (confidence level: 100%),166.88.182.46|443
domain,Cobalt Strike botnet C2 domain (confidence level: 75%),1.tcp.hk.cpolar.io
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),81.71.85.144|8080
url,Cobalt Strike botnet C2 (confidence level: 75%),http://124.220.205.147:81/tk6h
domain,Cobalt Strike botnet C2 domain (confidence level: 100%),ecs-113-44-87-199.compute.hwclouds-dns.com
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),156.245.27.203|8080
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),189.1.225.59|80
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),128.90.113.162|5000
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),213.209.143.37|4442
domain,Unknown malware botnet C2 domain (confidence level: 100%),static.etherpad-update.xyz
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),43.143.234.164|60000
